iter	Passed	Remaining
0	53	53690
1	54	26957
2	54	18042
3	54	13585
4	54	10906
5	55	9129
6	55	7859
7	55	6904
8	55	6163
9	56	5565
10	56	5079
11	56	4674
12	57	4334
13	57	4041
14	57	3785
15	57	3563
16	58	3366
17	58	3191
18	58	3034
19	59	2892
20	59	2763
21	59	2645
22	59	2539
23	60	2442
24	60	2351
25	60	2268
26	60	2191
27	61	2120
28	61	2053
29	61	1992
30	61	1934
31	62	1880
32	62	1828
33	62	1781
34	62	1736
35	63	1695
36	63	1654
37	63	1617
38	64	1582
39	64	1547
40	64	1517
41	65	1490
42	65	1462
43	65	1433
44	66	1406
45	66	1380
46	66	1355
47	67	1332
48	67	1310
49	67	1287
50	68	1265
51	68	1245
52	68	1225
53	68	1205
54	69	1187
55	69	1173
56	69	1157
57	70	1143
58	70	1130
59	71	1117
60	71	1104
61	72	1092
62	72	1079
63	72	1065
64	73	1052
65	73	1039
66	73	1026
67	73	1013
68	74	1001
69	74	990
70	74	978
71	75	968
72	75	957
73	75	947
74	76	939
75	76	930
76	76	922
77	77	914
78	77	906
79	77	896
80	78	888
81	78	879
82	78	869
83	78	861
84	79	853
85	79	845
86	79	837
87	80	830
88	80	823
89	80	816
90	81	809
91	81	802
92	81	795
93	81	789
94	82	786
95	82	780
96	83	774
97	83	768
98	83	762
99	84	757
100	84	751
101	84	745
102	85	740
103	85	735
104	85	729
105	85	723
106	86	718
107	86	713
108	86	708
109	86	703
110	87	698
111	87	693
112	87	689
113	88	684
114	88	679
115	88	675
116	88	670
117	89	666
118	89	663
119	89	658
120	90	654
121	90	649
122	90	645
123	90	641
124	91	637
125	91	634
126	91	629
127	91	625
128	92	622
129	92	619
130	93	617
131	93	614
132	93	611
133	94	609
134	94	605
135	94	602
136	95	600
137	95	596
138	95	593
139	96	590
140	96	587
141	96	583
142	96	580
143	97	578
144	97	575
145	97	572
146	98	570
147	98	567
148	98	565
149	99	562
150	99	559
151	99	556
152	100	553
153	100	551
154	100	549
155	101	546
156	101	544
157	101	541
158	102	539
159	102	536
160	102	533
161	102	531
162	102	528
163	103	526
164	103	524
165	103	521
166	104	519
167	104	517
168	104	515
169	105	513
170	105	511
171	105	508
172	106	507
173	106	505
174	106	503
175	107	501
176	107	499
177	107	497
178	108	495
179	108	493
180	108	491
181	109	489
182	109	487
183	109	485
184	109	483
185	110	482
186	110	480
187	110	479
188	111	477
189	111	475
190	111	473
191	112	471
192	112	469
193	112	468
194	112	466
195	113	464
196	113	462
197	113	460
198	114	459
199	114	457
200	114	455
201	114	453
202	115	451
203	115	450
204	115	448
205	115	446
206	116	445
207	116	443
208	116	441
209	117	440
210	117	438
211	117	436
212	117	435
213	118	433
214	118	432
215	118	430
216	118	429
217	119	427
218	119	426
219	119	424
220	120	423
221	120	421
222	120	420
223	120	418
224	121	417
225	121	415
226	121	414
227	122	413
228	122	412
229	122	411
230	123	410
231	123	409
232	124	408
233	124	407
234	124	405
235	125	404
236	125	403
237	125	402
238	126	401
239	126	401
240	126	399
241	127	398
242	127	397
243	128	396
244	128	395
245	128	394
246	129	393
247	129	393
248	130	392
249	130	391
250	130	390
251	131	389
252	131	388
253	132	387
254	132	386
255	132	385
256	133	384
257	133	383
258	134	384
259	134	383
260	135	382
261	135	381
262	135	380
263	136	379
264	136	378
265	136	376
266	136	375
267	137	374
268	137	373
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	140	369
275	140	368
276	141	368
277	141	367
278	141	366
279	142	365
280	142	364
281	142	363
282	143	362
283	143	361
284	143	360
285	144	359
286	144	358
287	144	357
288	145	357
289	145	356
290	145	355
291	146	354
292	146	353
293	146	352
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	149	347
300	149	346
301	149	345
302	150	345
303	150	344
304	150	343
305	151	343
306	151	342
307	152	341
308	152	340
309	152	340
310	153	339
311	153	338
312	153	337
313	154	336
314	154	335
315	154	335
316	155	334
317	155	334
318	156	333
319	156	332
320	156	331
321	157	330
322	157	329
323	157	329
324	157	328
325	158	327
326	158	326
327	158	325
328	159	324
329	159	323
330	159	322
331	159	321
332	160	320
333	160	320
334	160	319
335	161	318
336	161	317
337	161	317
338	162	316
339	162	315
340	162	314
341	163	314
342	163	313
343	164	312
344	164	312
345	164	311
346	165	310
347	165	309
348	165	309
349	165	308
350	166	307
351	166	306
352	166	305
353	167	305
354	167	304
355	167	303
356	168	302
357	168	302
358	168	301
359	169	300
360	169	299
361	169	299
362	170	298
363	170	297
364	170	297
365	171	296
366	171	295
367	171	294
368	171	293
369	172	293
370	172	292
371	173	292
372	173	291
373	173	290
374	173	289
375	174	289
376	174	288
377	174	287
378	175	287
379	175	286
380	175	285
381	176	284
382	176	284
383	176	283
384	176	282
385	177	281
386	177	281
387	177	280
388	178	279
389	178	278
390	178	278
391	178	277
392	179	277
393	179	276
394	179	275
395	180	274
396	180	274
397	180	273
398	181	272
399	181	272
400	181	271
401	181	270
402	182	270
403	182	269
404	182	268
405	183	268
406	183	267
407	184	267
408	184	266
409	184	265
410	185	265
411	185	264
412	185	263
413	186	263
414	186	262
415	186	262
416	187	261
417	187	260
418	187	260
419	187	259
420	188	258
421	188	258
422	188	257
423	188	256
424	189	256
425	189	255
426	189	254
427	190	254
428	190	253
429	190	252
430	191	252
431	191	251
432	191	250
433	191	250
434	192	249
435	192	248
436	192	248
437	192	247
438	193	246
439	193	246
440	193	245
441	194	245
442	194	244
443	195	244
444	195	244
445	195	243
446	196	242
447	196	242
448	196	241
449	197	240
450	197	240
451	197	239
452	198	239
453	198	238
454	198	237
455	198	237
456	199	236
457	199	236
458	199	235
459	200	235
460	200	234
461	200	233
462	201	233
463	201	232
464	201	232
465	202	231
466	202	230
467	202	230
468	202	229
469	203	229
470	203	228
471	203	227
472	203	227
473	204	226
474	204	226
475	204	225
476	204	224
477	205	224
478	205	223
479	205	222
480	206	222
481	206	221
482	206	221
483	207	220
484	207	220
485	207	219
486	207	219
487	208	218
488	208	217
489	208	217
490	209	216
491	209	216
492	209	215
493	209	215
494	211	215
495	211	214
496	211	214
497	211	213
498	212	213
499	212	212
500	212	212
501	213	211
502	213	210
503	213	210
504	214	209
505	214	209
506	214	208
507	214	208
508	215	207
509	215	207
510	215	206
511	216	206
512	216	205
513	216	204
514	217	204
515	217	203
516	217	203
517	217	202
518	218	202
519	218	201
520	218	200
521	218	200
522	219	199
523	219	199
524	219	198
525	220	198
526	220	197
527	220	197
528	220	196
529	221	196
530	221	195
531	221	195
532	222	194
533	222	194
534	222	193
535	223	193
536	223	192
537	223	192
538	223	191
539	224	190
540	224	190
541	224	189
542	225	189
543	225	188
544	225	188
545	226	188
546	226	187
547	226	186
548	226	186
549	227	185
550	227	185
551	227	184
552	228	184
553	228	183
554	228	183
555	229	182
556	229	182
557	229	181
558	230	181
559	230	180
560	230	180
561	230	179
562	231	179
563	231	178
564	231	178
565	231	177
566	232	177
567	232	176
568	232	176
569	233	175
570	233	175
571	233	174
572	233	174
573	234	173
574	234	173
575	234	172
576	235	172
577	235	171
578	235	171
579	236	170
580	236	170
581	236	170
582	237	169
583	237	169
584	237	168
585	238	168
586	238	167
587	238	167
588	239	166
589	239	166
590	239	165
591	239	165
592	240	164
593	240	164
594	240	163
595	240	163
596	241	162
597	241	162
598	241	161
599	242	161
600	242	160
601	242	160
602	242	159
603	243	159
604	243	159
605	243	158
606	244	158
607	244	157
608	244	157
609	245	156
610	245	156
611	245	155
612	245	155
613	246	154
614	246	154
615	246	153
616	247	153
617	247	152
618	247	152
619	247	151
620	248	151
621	248	150
622	248	150
623	248	149
624	249	149
625	249	149
626	249	148
627	250	148
628	250	147
629	250	147
630	251	147
631	251	146
632	251	146
633	252	145
634	252	145
635	252	144
636	252	144
637	253	143
638	253	143
639	253	142
640	253	142
641	254	141
642	254	141
643	254	140
644	255	140
645	255	139
646	255	139
647	255	139
648	256	138
649	256	138
650	256	137
651	257	137
652	257	136
653	257	136
654	258	135
655	258	135
656	258	135
657	259	134
658	259	134
659	259	133
660	259	133
661	260	132
662	260	132
663	260	131
664	261	131
665	261	131
666	261	130
667	262	130
668	262	129
669	262	129
670	263	129
671	263	128
672	263	128
673	264	127
674	264	127
675	264	126
676	264	126
677	265	125
678	265	125
679	265	125
680	266	124
681	266	124
682	266	123
683	266	123
684	267	122
685	267	122
686	267	121
687	267	121
688	268	121
689	268	120
690	268	120
691	268	119
692	269	119
693	269	118
694	269	118
695	269	117
696	270	117
697	270	116
698	270	116
699	270	116
700	271	115
701	271	115
702	271	114
703	271	114
704	272	113
705	272	113
706	272	112
707	272	112
708	273	112
709	273	111
710	273	111
711	274	110
712	274	110
713	274	110
714	275	109
715	275	109
716	275	108
717	275	108
718	276	107
719	276	107
720	276	107
721	276	106
722	277	106
723	277	105
724	277	105
725	278	104
726	278	104
727	278	104
728	279	103
729	279	103
730	279	102
731	279	102
732	280	102
733	280	101
734	280	101
735	281	100
736	281	100
737	282	100
738	282	99
739	282	99
740	283	98
741	283	98
742	283	98
743	283	97
744	284	97
745	284	96
746	284	96
747	285	96
748	285	95
749	285	95
750	285	94
751	286	94
752	286	94
753	286	93
754	287	93
755	287	92
756	287	92
757	288	92
758	288	91
759	289	91
760	289	90
761	289	90
